Feature,P-Value,Bonferroni Corrected P-Value
GO:0004479,1.0,1.0
GO:0004488,1.0,1.0
GO:0004489,1.0,1.0
GO:0004492,1.0,1.0
GO:0004494,1.0,1.0
GO:0004497,1.0,1.0
GO:0004514,1.0,1.0
GO:0004515,1.0,1.0
GO:0004516,1.0,1.0
GO:0004518,1.0,1.0
GO:0004519,1.0,1.0
GO:0004520,1.0,1.0
GO:0004521,1.0,1.0
GO:0004523,1.0,1.0
GO:0004525,1.0,1.0
GO:0004526,1.0,1.0
GO:0004527,1.0,1.0
GO:0004529,1.0,1.0
GO:0004530,1.0,1.0
GO:0004532,1.0,1.0
GO:0004534,1.0,1.0
GO:0004536,1.0,1.0
GO:0004540,1.0,1.0
GO:0004550,1.0,1.0
GO:0004553,1.0,1.0
GO:0004555,1.0,1.0
GO:0004556,1.0,1.0
GO:0004557,1.0,1.0
GO:0004558,1.0,1.0
GO:0004559,1.0,1.0
GO:0004563,1.0,1.0
GO:0004565,1.0,1.0
GO:0004566,1.0,1.0
GO:0004568,1.0,1.0
GO:0004585,1.0,1.0
GO:0004586,1.0,1.0
GO:0004588,1.0,1.0
GO:0004590,1.0,1.0
GO:0004591,1.0,1.0
GO:0004592,1.0,1.0
GO:0004594,1.0,1.0
GO:0004595,1.0,1.0
GO:0004596,1.0,1.0
GO:0004601,1.0,1.0
GO:0004602,1.0,1.0
GO:0004604,1.0,1.0
GO:0004605,1.0,1.0
GO:0004609,1.0,1.0
GO:0004612,1.0,1.0
GO:0004614,1.0,1.0
GO:0004615,1.0,1.0
GO:0004616,1.0,1.0
GO:0004617,0.3571428571428571,1.0
GO:0004618,1.0,1.0
GO:0004619,1.0,1.0
GO:0004620,1.0,1.0
GO:0004622,1.0,1.0
GO:0004623,1.0,1.0
GO:0004630,1.0,1.0
GO:0004632,1.0,1.0
GO:0004633,1.0,1.0
GO:0004634,1.0,1.0
GO:0004635,1.0,1.0
GO:0004636,1.0,1.0
GO:0004637,1.0,1.0
GO:0004638,1.0,1.0
GO:0004639,1.0,1.0
GO:0004640,1.0,1.0
GO:0004641,1.0,1.0
GO:0004642,1.0,1.0
GO:0004643,1.0,1.0
GO:0004644,1.0,1.0
GO:0004645,1.0,1.0
GO:0004648,1.0,1.0
GO:0004654,1.0,1.0
GO:0004655,1.0,1.0
GO:0004657,1.0,1.0
GO:0004659,0.3571428571428571,1.0
GO:0004664,1.0,1.0
GO:0004665,1.0,1.0
GO:0004672,1.0,1.0
GO:0004673,1.0,1.0
GO:0004674,1.0,1.0
GO:0004713,1.0,1.0
